location,date,inc,cum,location_name,population,geo_type,geo_value,abbreviation,full_location_name,location_name_with_state,rolling_max_inc
01,2021-02-06,947,8513,Alabama,4903185,state,al,AL,Alabama,Alabama,947
01,2021-09-25,813,14022,Alabama,4903185,state,al,AL,Alabama,Alabama,813
01,2022-02-19,362,17933,Alabama,4903185,state,al,AL,Alabama,Alabama,362
02,2020-12-12,33,176,Alaska,731545,state,ak,AK,Alaska,Alaska,33
02,2021-11-13,90,831,Alaska,731545,state,ak,AK,Alaska,Alaska,90
04,2021-01-16,1212,11248,Arizona,7278717,state,az,AZ,Arizona,Arizona,1212
04,2022-01-29,626,26183,Arizona,7278717,state,az,AZ,Arizona,Arizona,626
05,2020-12-12,291,2911,Arkansas,3017804,state,ar,AR,Arkansas,Arkansas,291
05,2022-02-19,266,10291,Arkansas,3017804,state,ar,AR,Arkansas,Arkansas,266
06,2020-08-08,926,10204,California,39512223,state,ca,CA,California,California,926
06,2021-01-30,3674,40031,California,39512223,state,ca,CA,California,California,3674
06,2021-10-23,960,71291,California,39512223,state,ca,CA,California,California,960
06,2022-02-12,1498,82478,California,39512223,state,ca,CA,California,California,1498
08,2020-12-12,514,3871,Colorado,5758736,state,co,CO,Colorado,Colorado,514
08,2021-05-15,87,6442,Colorado,5758736,state,co,CO,Colorado,Colorado,87
08,2021-12-11,283,9627,Colorado,5758736,state,co,CO,Colorado,Colorado,283
09,2021-01-02,308,6099,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,308
09,2022-01-08,217,9377,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,217
10,2021-01-23,66,1254,Delaware,973764,state,de,DE,Delaware,Delaware,66
10,2022-01-08,79,2365,Delaware,973764,state,de,DE,Delaware,Delaware,79
11,2021-01-30,39,909,District of Columbia,705749,state,dc,DC,District of Columbia,District of Columbia,39
11,2022-01-15,28,1255,District of Columbia,705749,state,dc,DC,District of Columbia,District of Columbia,28
12,2020-08-01,1245,7022,Florida,21477737,state,fl,FL,Florida,Florida,1245
12,2021-02-06,1239,27599,Florida,21477737,state,fl,FL,Florida,Florida,1239
12,2021-09-18,2468,51240,Florida,21477737,state,fl,FL,Florida,Florida,2468
