location,date,inc,cum,location_name,population,geo_type,geo_value,abbreviation,full_location_name,location_name_with_state,rolling_max_inc
01,2021-01-09,29692,399150,Alabama,4903185,state,al,AL,Alabama,Alabama,29692
01,2021-08-21,31845,659750,Alabama,4903185,state,al,AL,Alabama,Alabama,31845
01,2022-01-22,132765,1137387,Alabama,4903185,state,al,AL,Alabama,Alabama,132765
02,2020-12-05,4829,36296,Alaska,731545,state,ak,AK,Alaska,Alaska,4829
02,2021-10-02,8024,115703,Alaska,731545,state,ak,AK,Alaska,Alaska,8024
02,2022-01-29,17051,212396,Alaska,731545,state,ak,AK,Alaska,Alaska,17051
04,2021-01-09,68195,607345,Arizona,7278717,state,az,AZ,Arizona,Arizona,68195
04,2021-08-28,22989,1005764,Arizona,7278717,state,az,AZ,Arizona,Arizona,22989
04,2021-11-20,26916,1238249,Arizona,7278717,state,az,AZ,Arizona,Arizona,26916
04,2022-01-22,166437,1729630,Arizona,7278717,state,az,AZ,Arizona,Arizona,166437
05,2021-01-09,20304,251746,Arkansas,3017804,state,ar,AR,Arkansas,Arkansas,20304
05,2021-08-07,16456,402908,Arkansas,3017804,state,ar,AR,Arkansas,Arkansas,16456
05,2022-01-15,62776,675790,Arkansas,3017804,state,ar,AR,Arkansas,Arkansas,62776
06,2020-12-19,310696,1921803,California,39512223,state,ca,CA,California,California,310696
06,2021-08-21,108098,4325109,California,39512223,state,ca,CA,California,California,108098
06,2022-01-15,852509,6915684,California,39512223,state,ca,CA,California,California,852509
08,2020-11-21,35445,194679,Colorado,5758736,state,co,CO,Colorado,Colorado,35445
08,2021-05-01,12129,512804,Colorado,5758736,state,co,CO,Colorado,Colorado,12129
08,2021-11-20,22774,804734,Colorado,5758736,state,co,CO,Colorado,Colorado,22774
08,2022-01-15,114311,1103720,Colorado,5758736,state,co,CO,Colorado,Colorado,114311
09,2020-12-12,19046,146761,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,19046
09,2021-04-03,8746,313956,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,8746
09,2021-09-18,5409,384342,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,5409
09,2022-01-15,63861,637572,Connecticut,3565287,state,ct,CT,Connecticut,Connecticut,63861
10,2020-12-12,5780,44876,Delaware,973764,state,de,DE,Delaware,Delaware,5780
10,2021-09-25,3240,131043,Delaware,973764,state,de,DE,Delaware,Delaware,3240
10,2022-01-15,22858,225094,Delaware,973764,state,de,DE,Delaware,Delaware,22858
11,2021-01-16,2080,33537,District of Columbia,705749,state,dc,DC,District of Columbia,District of Columbia,2080
11,2021-09-18,1885,58851,District of Columbia,705749,state,dc,DC,District of Columbia,District of Columbia,1885
11,2022-01-08,15754,110040,District of Columbia,705749,state,dc,DC,District of Columbia,District of Columbia,15754
12,2021-01-09,109864,1464697,Florida,21477737,state,fl,FL,Florida,Florida,109864
