location,location_abbreviation,date,start_issue_date,end_issue_date
26,MI,2020-12-26,2020-12-27,2021-07-25
26,MI,2021-01-02,2021-01-03,2021-07-25
26,MI,2021-01-09,2021-01-10,2021-07-25
27,MN,2020-12-26,2020-12-27,2021-07-25
27,MN,2021-01-02,2021-01-03,2021-07-25
27,MN,2021-01-09,2021-01-10,2021-07-25
28,MS,2020-12-26,2020-12-27,2021-07-25
29,MO,2020-12-26,2020-12-27,2021-07-25
29,MO,2021-01-02,2021-01-03,2021-07-25
29,MO,2021-01-09,2021-01-10,2021-07-25
29,MO,2021-04-17,2021-01-10,2021-07-25
30,MT,2020-12-26,2020-12-27,2021-07-25
30,MT,2021-01-02,2021-01-03,2021-07-25
30,MT,2021-01-09,2021-01-10,2021-07-25
31,NE,2020-12-26,2020-12-27,2021-07-25
31,NE,2021-01-02,2021-01-03,2021-07-25
31,NE,2021-01-09,2021-01-10,2021-07-25
32,NV,2020-12-26,2020-12-27,2021-07-25
32,NV,2021-01-02,2021-01-03,2021-07-25
32,NV,2021-01-09,2021-01-10,2021-07-25
33,NH,2020-12-26,2020-12-27,2021-07-25
35,NM,2020-12-26,2020-12-27,2021-07-25
35,NM,2021-01-02,2021-01-03,2021-07-25
35,NM,2021-01-09,2021-01-10,2021-07-25
39,OH,2020-12-26,2020-12-27,2021-07-25
39,OH,2021-01-02,2021-01-03,2021-07-25
39,OH,2021-01-09,2021-01-10,2021-07-25
40,OK,2020-12-26,2020-12-27,2021-07-25
40,OK,2021-01-02,2021-01-03,2021-07-25
40,OK,2021-01-09,2021-01-10,2021-07-25
41,OR,2020-12-26,2020-12-27,2021-07-25
42,PA,2020-12-26,2020-12-27,2021-07-25
42,PA,2021-01-02,2021-01-03,2021-07-25
42,PA,2021-01-09,2021-01-10,2021-07-25
44,RI,2020-12-26,2020-12-27,2021-07-25
44,RI,2021-01-02,2021-01-03,2021-07-25
44,RI,2021-01-09,2021-01-10,2021-07-25
45,SC,2020-12-26,2020-12-27,2021-07-25
45,SC,2021-01-02,2021-01-03,2021-07-25
45,SC,2021-01-09,2021-01-10,2021-07-25
46,SD,2020-12-26,2020-12-27,2021-07-25
46,SD,2021-01-02,2021-01-03,2021-07-25
46,SD,2021-01-09,2021-01-10,2021-07-25
48,TX,2020-12-26,2020-12-27,2021-07-25
48,TX,2021-02-20,2021-02-21,2021-07-25
49,UT,2020-12-26,2020-12-27,2021-07-25
49,UT,2021-01-02,2021-01-03,2021-07-25
49,UT,2021-01-09,2021-01-10,2021-07-25
50,VT,2020-12-26,2020-12-27,2021-07-25
50,VT,2021-01-02,2021-01-03,2021-07-25
50,VT,2021-01-09,2021-01-10,2021-07-25
53,WA,2020-12-26,2020-12-27,2021-07-25
53,WA,2021-01-02,2021-01-03,2021-07-25
53,WA,2021-01-09,2021-01-10,2021-07-25
54,WV,2020-12-26,2020-12-27,2021-07-25
54,WV,2021-01-02,2021-01-03,2021-07-25
54,WV,2021-01-09,2021-01-10,2021-07-25
55,WI,2020-12-26,2020-12-27,2021-07-25
55,WI,2021-01-02,2021-01-03,2021-07-25
55,WI,2021-01-09,2021-01-10,2021-07-25
56,WY,2020-12-26,2020-12-27,2021-07-25
56,WY,2021-01-02,2021-01-03,2021-07-25
56,WY,2021-01-09,2021-01-10,2021-07-25
72,PR,2021-07-24,2021-07-25,2021-07-25
78,VI,2020-10-10,2020-10-11,2021-07-25
