location,location_abbreviation,date,start_issue_date,end_issue_date
01,AL,2020-12-26,2020-12-27,2021-07-25
01,AL,2021-01-02,2021-01-03,2021-07-25
01,AL,2021-01-09,2021-01-10,2021-07-25
01,AL,2021-05-15,2021-05-16,2021-07-25
02,AK,2020-12-26,2020-12-27,2021-07-25
04,AZ,2020-12-26,2020-12-27,2021-07-25
04,AZ,2021-01-02,2021-01-03,2021-07-25
04,AZ,2021-01-09,2021-01-10,2021-07-25
05,AR,2020-12-26,2020-12-27,2021-07-25
05,AR,2021-02-20,2021-02-21,2021-07-25
06,CA,2020-12-26,2020-12-27,2021-07-25
06,CA,2021-01-02,2021-01-03,2021-07-25
06,CA,2021-01-09,2021-01-10,2021-07-25
08,CO,2020-12-26,2020-12-27,2021-07-25
08,CO,2021-01-02,2021-01-03,2021-07-25
08,CO,2021-01-09,2021-01-10,2021-07-25
09,CT,2020-12-26,2020-12-27,2021-07-25
10,DE,2020-12-26,2020-12-27,2021-07-25
10,DE,2021-01-02,2021-01-03,2021-07-25
10,DE,2021-01-09,2021-01-10,2021-07-25
11,DC,2020-12-26,2020-12-27,2021-07-25
12,FL,2020-12-26,2020-12-27,2021-07-25
13,GA,2020-11-07,2020-11-15,2021-07-25
16,ID,2020-12-26,2020-12-27,2021-07-25
16,ID,2021-01-02,2021-01-03,2021-07-25
16,ID,2021-01-09,2021-01-10,2021-07-25
17,IL,2020-12-26,2020-12-27,2021-07-25
17,IL,2021-01-02,2021-01-03,2021-07-25
17,IL,2021-01-09,2021-01-10,2021-07-25
18,IN,2020-12-26,2020-12-27,2021-07-25
18,IN,2021-01-02,2021-01-03,2021-07-25
18,IN,2021-01-09,2021-01-10,2021-07-25
19,IA,2020-08-29,2020-08-30,2021-07-25
19,IA,2020-09-05,2020-09-06,2021-07-25
19,IA,2020-12-26,2020-12-27,2021-07-25
19,IA,2021-01-02,2021-01-03,2021-07-25
19,IA,2021-01-09,2021-01-10,2021-07-25
19,IA,2021-02-20,2021-02-21,2021-02-28
20,KS,2020-12-26,2020-12-27,2021-07-25
21,KY,2020-12-26,2020-12-27,2021-07-25
21,KY,2021-01-02,2021-01-03,2021-07-25
21,KY,2021-01-09,2021-01-10,2021-07-25
22,LA,2020-12-26,2020-12-27,2021-07-25
22,LA,2021-01-02,2021-01-03,2021-07-25
22,LA,2021-01-09,2021-01-10,2021-07-25
22,LA,2021-02-20,2021-02-21,2021-07-25
23,ME,2020-12-26,2020-12-27,2021-07-25
25,MA,2020-09-05,2020-09-06,2020-09-20
25,MA,2020-12-26,2020-12-27,2021-07-25
25,MA,2021-01-02,2021-01-03,2021-07-25
25,MA,2021-01-09,2021-01-10,2021-07-25
