location,location_abbreviation,date,start_issue_date,end_issue_date
ES,ES,2021-03-06,2021-05-02,2021-07-04
FR,FR,2021-05-22,2021-05-30,2021-07-04
IE,IE,2021-05-22,2021-05-23,2021-06-06
IE,IE,2021-05-29,2021-05-30,2021-06-06
IE,IE,2021-06-05,2021-06-06,2021-06-06
