location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
FR,NA,2020-04-18,5491,2020-05-03,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-05-03,-11,-0.003342449103615922,-0.003353658536585366
GB,NA,2020-03-14,19,2020-05-03,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-05-03,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-05-03,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-05-03,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-05-03,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-05-03,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-05-03,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-05-10,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-05-10,-11,-0.003342449103615922,-0.003353658536585366
GB,NA,2020-03-14,19,2020-05-10,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-05-10,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-05-10,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-05-10,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-05-10,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-05-10,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-05-10,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-05-17,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-05-17,-11,-0.003342449103615922,-0.003353658536585366
GB,NA,2020-03-14,19,2020-05-17,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-05-17,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-05-17,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-05-17,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-05-17,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-05-17,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-05-17,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-05-24,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-05-24,-11,-0.003342449103615922,-0.003353658536585366
GB,NA,2020-03-14,19,2020-05-24,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-05-24,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-05-24,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-05-24,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-05-24,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-05-24,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-05-24,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-05-31,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-05-31,-11,-0.003342449103615922,-0.003353658536585366
FR,NA,2020-05-23,684,2020-05-31,117,0.17105263157894737,0.14606741573033707
GB,NA,2020-03-14,19,2020-05-31,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-05-31,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-05-31,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-05-31,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-05-31,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-05-31,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-05-31,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-06-07,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-06-07,-11,-0.003342449103615922,-0.003353658536585366
FR,NA,2020-05-23,684,2020-06-07,117,0.17105263157894737,0.14606741573033707
GB,NA,2020-03-14,19,2020-06-07,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-06-07,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-06-07,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-06-07,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-06-07,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-06-07,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-06-07,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-06-14,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-06-14,-11,-0.003342449103615922,-0.003353658536585366
FR,NA,2020-05-23,684,2020-06-14,117,0.17105263157894737,0.14606741573033707
GB,NA,2020-03-14,19,2020-06-14,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-06-14,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-06-14,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-06-14,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-06-14,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-06-14,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-06-14,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-06-21,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-06-21,-11,-0.003342449103615922,-0.003353658536585366
FR,NA,2020-05-23,684,2020-06-21,117,0.17105263157894737,0.14606741573033707
GB,NA,2020-03-14,19,2020-06-21,7,0.3684210526315789,0.2692307692307692
GB,NA,2020-03-21,212,2020-06-21,10,0.04716981132075472,0.04504504504504504
GB,NA,2020-03-28,786,2020-06-21,419,0.5330788804071247,0.34771784232365144
GB,NA,2020-04-04,3294,2020-06-21,472,0.143290831815422,0.1253319171534785
GB,NA,2020-04-11,5562,2020-06-21,816,0.14670981661272922,0.1279397930385701
GB,NA,2020-04-18,5589,2020-06-21,806,0.14421184469493648,0.12603596559812352
GB,NA,2020-04-25,4855,2020-06-21,786,0.16189495365602471,0.13933699698634994
FR,NA,2020-04-18,5491,2020-06-28,-20,-0.00364232380258605,-0.003655638822884299
FR,NA,2020-04-25,3291,2020-06-28,-11,-0.003342449103615922,-0.003353658536585366
