location,location_abbreviation,date,start_issue_date,end_issue_date
BE,BE,2020-08-29,2020-08-30,2021-08-22
BG,BG,2020-10-24,2020-10-25,2021-08-22
CH,CH,2020-10-24,2020-10-25,2021-08-22
CH,CH,2021-07-24,2021-07-25,2021-08-22
CZ,CZ,2021-08-07,2021-08-08,2021-08-22
EE,EE,2020-08-08,2020-08-09,2021-08-22
ES,ES,2020-05-30,2020-05-31,2021-08-22
FI,FI,2020-07-18,2020-07-19,2021-08-22
