location,location_abbreviation,date,start_issue_date,end_issue_date
01,AL,2020-12-26,2020-12-27,2022-05-16
01,AL,2021-01-02,2021-01-03,2022-05-16
01,AL,2021-01-09,2021-01-10,2022-05-16
01,AL,2021-05-15,2021-05-16,2022-05-16
01,AL,2021-10-30,2021-10-31,2022-05-16
01,AL,2022-01-15,2022-01-16,2022-05-16
01,AL,2022-01-22,2022-01-23,2022-05-16
02,AK,2020-12-26,2020-12-27,2022-05-16
04,AZ,2020-12-26,2020-12-27,2022-05-16
04,AZ,2021-01-02,2021-01-03,2022-05-16
04,AZ,2021-01-09,2021-01-10,2022-05-16
05,AR,2020-12-26,2020-12-27,2022-05-16
05,AR,2021-02-20,2021-02-21,2022-05-16
05,AR,2021-11-27,2021-11-28,2022-05-16
06,CA,2020-12-26,2020-12-27,2022-05-16
06,CA,2021-01-02,2021-01-03,2022-05-16
06,CA,2021-01-09,2021-01-10,2022-05-16
06,CA,2021-11-27,2021-11-28,2022-05-16
08,CO,2020-12-26,2020-12-27,2022-05-16
08,CO,2021-01-02,2021-01-03,2022-05-16
08,CO,2021-01-09,2021-01-10,2022-05-16
09,CT,2020-12-26,2020-12-27,2022-05-16
10,DE,2020-12-26,2020-12-27,2022-05-16
10,DE,2021-01-02,2021-01-03,2022-05-16
10,DE,2021-01-09,2021-01-10,2022-05-16
10,DE,2021-11-27,2021-11-28,2022-05-16
10,DE,2022-04-09,2022-04-10,2022-05-16
11,DC,2020-12-26,2020-12-27,2022-05-16
11,DC,2021-10-16,2021-10-17,2022-05-16
11,DC,2021-11-27,2021-11-28,2022-05-16
11,DC,2022-03-12,2022-03-13,2022-03-27
11,DC,2022-03-19,2022-03-20,2022-03-27
11,DC,2022-03-26,2022-03-27,2022-03-27
11,DC,2022-05-07,2022-05-08,2022-05-15
12,FL,2020-12-26,2020-12-27,2022-05-16
12,FL,2021-11-27,2020-11-28,2022-05-16
12,FL,2021-12-04,2020-12-05,2022-05-16
12,FL,2022-03-19,2022-03-20,2022-05-16
12,FL,2022-03-26,2022-03-27,2022-05-16
12,FL,2022-04-02,2022-04-03,2022-05-16
12,FL,2022-04-09,2022-04-10,2022-05-16
12,FL,2022-04-16,2022-04-17,2022-05-16
12,FL,2022-04-23,2022-04-24,2022-05-16
12,FL,2022-04-30,2022-05-01,2022-05-16
12,FL,2022-05-07,2022-05-08,2022-05-16
12,FL,2022-05-14,2022-05-15,2022-05-16
13,GA,2020-11-07,2020-11-15,2022-05-16
13,GA,2021-11-27,2021-11-28,2022-05-16
13,GA,2022-01-08,2022-01-09,2022-05-16
13,GA,2022-01-15,2022-01-16,2022-05-16
13,GA,2022-04-02,2022-04-03,2022-05-16
15,HI,2021-11-27,2021-11-28,2022-05-16
16,ID,2020-12-26,2020-12-27,2022-05-16
