location,location_abbreviation,date,start_issue_date,end_issue_date
16,ID,2021-01-02,2021-01-03,2022-05-16
16,ID,2021-01-09,2021-01-10,2022-05-16
16,ID,2021-11-27,2021-11-28,2022-05-16
16,ID,2021-12-25,2020-12-26,2022-05-16
17,IL,2020-12-26,2020-12-27,2022-05-16
17,IL,2021-01-02,2021-01-03,2022-05-16
17,IL,2021-01-09,2021-01-10,2022-05-16
17,IL,2021-11-27,2021-11-28,2022-05-16
17,IL,2021-12-04,2021-12-05,2022-05-16
18,IN,2020-12-26,2020-12-27,2022-05-16
18,IN,2021-01-02,2021-01-03,2022-05-16
18,IN,2021-01-09,2021-01-10,2022-05-16
18,IN,2021-11-27,2021-11-28,2022-05-16
18,IN,2021-12-04,2021-12-05,2022-05-16
18,IN,2021-12-25,2021-12-26,2022-05-16
19,IA,2020-08-29,2020-08-30,2022-05-16
19,IA,2020-09-05,2020-09-06,2022-05-16
19,IA,2020-12-26,2020-12-27,2022-05-16
19,IA,2021-01-02,2021-01-03,2022-05-16
19,IA,2021-01-09,2021-01-10,2022-05-16
19,IA,2021-02-20,2021-02-21,2021-02-28
19,IA,2021-11-27,2021-11-28,2022-05-16
19,IA,2021-12-04,2021-12-05,2022-05-16
19,IA,2021-12-25,2021-12-26,2022-05-16
19,IA,2022-03-05,2022-03-06,2022-05-16
20,KS,2020-12-26,2020-12-27,2022-05-16
20,KS,2021-11-27,2021-11-28,2022-05-16
20,KS,2021-12-04,2021-12-05,2022-05-16
20,KS,2021-12-25,2021-12-26,2022-05-16
20,KS,2022-02-12,2022-02-13,2022-05-16
20,KS,2022-02-19,2022-02-20,2022-05-16
20,KS,2022-04-16,2022-04-17,2022-04-17
20,KS,2022-04-23,2022-04-24,2022-04-24
21,KY,2020-12-26,2020-12-27,2022-05-16
21,KY,2021-01-02,2021-01-03,2022-05-16
21,KY,2021-01-09,2021-01-10,2022-05-16
21,KY,2021-11-27,2021-11-28,2022-05-16
21,KY,2021-12-04,2021-12-05,2022-05-16
21,KY,2021-12-25,2021-12-26,2022-05-16
21,KY,2022-03-12,2022-03-13,2022-05-16
21,KY,2022-03-19,2022-03-20,2022-05-16
21,KY,2022-03-26,2022-03-27,2022-05-16
21,KY,2022-04-02,2022-04-03,2022-05-16
22,LA,2020-12-26,2020-12-27,2022-05-16
22,LA,2021-01-02,2021-01-03,2022-05-16
22,LA,2021-01-09,2021-01-10,2022-05-16
22,LA,2021-02-20,2021-02-21,2022-05-16
22,LA,2021-11-27,2021-11-28,2022-05-16
23,ME,2020-12-26,2020-12-27,2022-05-16
23,ME,2021-11-27,2021-11-28,2022-05-16
23,ME,2021-12-04,2021-12-05,2022-05-16
23,ME,2021-12-25,2021-12-26,2022-05-16
23,ME,2022-01-01,2022-01-02,2022-05-16
23,ME,2022-02-19,2022-02-20,2022-05-16
24,MD,2020-11-28,2020-11-29,2022-05-16
24,MD,2020-12-19,2020-12-20,2022-05-16
24,MD,2020-12-26,2020-12-27,2022-05-16
24,MD,2021-01-02,2021-01-03,2022-05-16
24,MD,2021-01-09,2021-01-10,2022-05-16
24,MD,2021-11-27,2021-11-28,2022-05-16
24,MD,2021-12-04,2021-12-05,2022-05-16
24,MD,2021-12-11,2021-12-12,2021-12-19
24,MD,2021-12-18,2021-12-19,2021-12-19
24,MD,2022-02-19,2022-02-20,2022-02-20
25,MA,2020-09-05,2020-09-06,2020-09-20
25,MA,2020-12-26,2020-12-27,2022-05-16
25,MA,2021-01-02,2021-01-03,2022-05-16
25,MA,2021-01-09,2021-01-10,2022-05-16
26,MI,2020-12-26,2020-12-27,2022-05-16
26,MI,2021-01-02,2021-01-03,2022-05-16
26,MI,2021-01-09,2021-01-10,2022-05-16
26,MI,2021-11-27,2021-11-28,2022-05-16
26,MI,2021-12-04,2021-12-05,2022-05-16
26,MI,2021-12-25,2021-12-26,2022-05-16
27,MN,2020-12-26,2020-12-27,2022-05-16
27,MN,2021-01-02,2021-01-03,2022-05-16
27,MN,2021-01-09,2021-01-10,2022-05-16
27,MN,2021-11-27,2021-11-28,2022-05-16
27,MN,2021-12-25,2021-12-26,2022-05-16
28,MS,2020-12-26,2020-12-27,2022-05-16
28,MS,2021-11-27,2021-11-28,2022-05-16
28,MS,2021-12-25,2021-12-26,2022-05-16
29,MO,2020-12-26,2020-12-27,2022-05-16
29,MO,2021-01-02,2021-01-03,2022-05-16
29,MO,2021-01-09,2021-01-10,2022-05-16
29,MO,2021-04-17,2021-04-18,2022-05-16
29,MO,2021-11-27,2021-11-28,2022-05-16
29,MO,2021-12-04,2021-12-05,2022-05-16
29,MO,2021-12-25,2021-12-26,2022-05-16
30,MT,2020-12-26,2020-12-27,2022-05-16
30,MT,2021-01-02,2021-01-03,2022-05-16
30,MT,2021-01-09,2021-01-10,2022-05-16
30,MT,2021-11-27,2021-11-28,2022-05-16
30,MT,2022-03-05,2022-03-06,2022-05-16
31,NE,2020-12-26,2020-12-27,2022-05-16
31,NE,2021-01-02,2021-01-03,2022-05-16
31,NE,2021-01-09,2021-01-10,2022-05-16
31,NE,2021-11-27,2021-11-28,2022-05-16
31,NE,2021-12-04,2021-12-05,2022-05-16
31,NE,2021-12-25,2021-12-26,2022-05-16
31,NE,2022-03-05,2022-03-06,2022-05-16
32,NV,2020-12-26,2020-12-27,2022-05-16
32,NV,2021-01-02,2021-01-03,2022-05-16
32,NV,2021-01-09,2021-01-10,2022-05-16
32,NV,2021-11-27,2021-11-28,2022-05-16
32,NV,2022-03-19,2022-03-20,2022-05-16
33,NH,2020-12-26,2020-12-27,2022-05-16
33,NH,2021-10-30,2021-10-31,2022-05-16
33,NH,2021-11-06,2021-11-07,2022-05-16
33,NH,2021-11-27,2021-11-28,2022-05-16
33,NH,2021-12-04,2021-12-05,2022-05-16
33,NH,2021-12-25,2021-12-26,2022-05-16
33,NH,2022-03-05,2022-03-06,2022-03-06
34,NJ,2020-12-19,2020-12-20,2022-05-16
34,NJ,2020-12-26,2020-12-27,2022-05-16
34,NJ,2021-01-02,2021-01-03,2022-05-16
34,NJ,2021-01-09,2021-01-10,2022-05-16
34,NJ,2021-05-01,2021-05-02,2022-05-16
35,NM,2020-12-26,2020-12-27,2022-05-16
35,NM,2021-01-02,2021-01-03,2022-05-16
35,NM,2021-01-09,2021-01-10,2022-05-16
35,NM,2021-11-27,2021-11-28,2022-05-16
35,NM,2021-12-04,2021-12-05,2022-05-16
35,NM,2021-12-25,2021-12-26,2022-05-16
36,NY,2021-11-27,2021-11-28,2022-05-16
37,NC,2021-11-27,2021-11-28,2022-05-16
37,NC,2021-12-25,2021-12-26,2022-05-16
38,ND,2021-11-27,2021-11-28,2022-05-16
39,OH,2020-12-26,2020-12-27,2022-05-16
39,OH,2021-01-02,2021-01-03,2022-05-16
39,OH,2021-01-09,2021-01-10,2022-05-16
39,OH,2021-11-27,2021-11-28,2022-05-16
39,OH,2021-12-04,2021-12-05,2022-05-16
40,OK,2020-12-26,2020-12-27,2022-05-16
40,OK,2021-01-02,2021-01-03,2022-05-16
40,OK,2021-01-09,2021-01-10,2022-05-16
40,OK,2021-11-27,2021-11-28,2022-05-16
40,OK,2021-12-04,2021-12-05,2022-05-16
41,OR,2020-12-26,2020-12-27,2022-05-16
41,OR,2021-11-27,2021-11-28,2022-05-16
41,OR,2021-12-04,2021-12-05,2022-05-16
42,PA,2020-12-26,2020-12-27,2022-05-16
42,PA,2021-01-02,2021-01-03,2022-05-16
42,PA,2021-01-09,2021-01-10,2022-05-16
42,PA,2021-11-27,2021-11-28,2022-05-16
44,RI,2020-11-28,2020-11-29,2022-05-16
44,RI,2020-12-26,2020-12-27,2022-05-16
44,RI,2021-01-02,2021-01-03,2022-05-16
44,RI,2021-01-09,2021-01-10,2022-05-16
44,RI,2021-11-27,2021-11-28,2022-05-16
44,RI,2021-12-04,2021-12-05,2022-05-16
45,SC,2020-11-28,2020-11-29,2022-05-16
45,SC,2020-12-26,2020-12-27,2022-05-16
45,SC,2021-01-02,2021-01-03,2022-05-16
45,SC,2021-01-09,2021-01-10,2022-05-16
45,SC,2021-11-27,2021-11-28,2022-05-16
46,SD,2020-12-26,2020-12-27,2022-05-16
46,SD,2021-01-02,2021-01-03,2022-05-16
46,SD,2021-01-09,2021-01-10,2022-05-16
46,SD,2021-11-27,2021-11-28,2022-05-16
46,SD,2021-12-04,2021-12-05,2022-05-16
46,SD,2021-12-25,2021-12-26,2022-05-16
47,TN,2020-11-28,2020-11-29,2022-05-16
47,TN,2021-11-27,2021-11-28,2022-05-16
47,TN,2021-12-04,2021-12-05,2022-05-16
48,TX,2020-11-28,2020-11-29,2022-05-16
48,TX,2020-12-26,2020-12-27,2022-05-16
48,TX,2021-02-20,2021-02-21,2022-05-16
48,TX,2021-11-27,2021-11-28,2022-05-16
48,TX,2022-04-16,2022-04-17,2022-05-08
49,UT,2020-11-28,2020-11-29,2022-05-16
49,UT,2020-12-26,2020-12-27,2022-05-16
49,UT,2021-01-02,2021-01-03,2022-05-16
49,UT,2021-01-09,2021-01-10,2022-05-16
49,UT,2021-11-27,2021-11-28,2022-05-16
49,UT,2021-12-25,2021-12-26,2022-05-16
50,VT,2020-11-28,2021-11-29,2022-05-16
50,VT,2020-12-05,2020-12-06,2022-05-16
50,VT,2020-12-26,2020-12-27,2022-05-16
50,VT,2021-01-02,2021-01-03,2022-05-16
50,VT,2021-01-09,2021-01-10,2022-05-16
50,VT,2021-11-27,2021-11-28,2022-05-16
50,VT,2021-12-04,2021-12-05,2022-05-16
50,VT,2021-12-25,2021-12-26,2022-05-16
51,VA,2021-11-27,2021-11-28,2022-05-16
53,WA,2020-12-26,2020-12-27,2022-05-16
53,WA,2021-01-02,2021-01-03,2022-05-16
53,WA,2021-01-09,2021-01-10,2022-05-16
53,WA,2021-11-27,2021-11-28,2022-05-16
53,WA,2021-12-04,2021-12-05,2022-05-16
53,WA,2022-02-19,2022-02-20,2022-05-16
54,WV,2020-11-28,2020-11-29,2022-05-16
54,WV,2020-12-26,2020-12-27,2022-05-16
54,WV,2021-01-02,2021-01-03,2022-05-16
54,WV,2021-01-09,2021-01-10,2022-05-16
54,WV,2021-11-27,2021-11-28,2022-05-16
54,WV,2021-12-04,2021-12-05,2022-05-16
54,WV,2021-12-25,2021-12-26,2022-05-16
55,WI,2020-12-26,2020-12-27,2022-05-16
55,WI,2021-01-02,2021-01-03,2022-05-16
55,WI,2021-01-09,2021-01-10,2022-05-16
55,WI,2021-11-27,2021-11-28,2022-05-16
55,WI,2021-12-04,2021-12-05,2022-05-16
56,WY,2020-12-26,2020-12-27,2022-05-16
56,WY,2021-01-02,2021-01-03,2022-05-16
56,WY,2021-01-09,2021-01-10,2022-05-16
56,WY,2021-11-27,2021-11-28,2022-05-16
56,WY,2021-12-04,2021-12-05,2022-05-16
56,WY,2022-04-16,2022-04-17,2022-05-16
72,PR,2021-07-24,2021-07-25,2021-08-01
72,PR,2021-11-27,2021-11-28,2022-05-16
78,VI,2020-11-28,2020-11-29,2022-05-16
78,VI,2020-10-10,2020-10-11,2022-05-16
