location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
08,Colorado,2020-03-07,7,2020-05-24,1,0.14285714285714285,0.125
08,Colorado,2020-03-14,94,2020-05-24,1,0.010638297872340425,0.010526315789473684
08,Colorado,2020-03-21,374,2020-05-24,-2,-0.0053475935828877,-0.005376344086021506
08,Colorado,2020-03-28,1265,2020-05-24,321,0.25375494071146243,0.20239596469104665
08,Colorado,2020-04-04,2448,2020-05-24,56,0.02287581699346405,0.022364217252396165
08,Colorado,2020-04-11,2325,2020-05-24,3,0.0012903225806451613,0.001288659793814433
08,Colorado,2020-04-18,2534,2020-05-24,13,0.005130228887134964,0.005104043973301924
08,Colorado,2020-04-25,3921,2020-05-24,-393,-0.10022953328232594,-0.11139455782312925
08,Colorado,2020-03-07,7,2020-05-31,1,0.14285714285714285,0.125
08,Colorado,2020-03-14,94,2020-05-31,1,0.010638297872340425,0.010526315789473684
08,Colorado,2020-03-21,374,2020-05-31,-2,-0.0053475935828877,-0.005376344086021506
08,Colorado,2020-03-28,1265,2020-05-31,321,0.25375494071146243,0.20239596469104665
08,Colorado,2020-04-04,2448,2020-05-31,56,0.02287581699346405,0.022364217252396165
08,Colorado,2020-04-11,2325,2020-05-31,3,0.0012903225806451613,0.001288659793814433
08,Colorado,2020-04-18,2534,2020-05-31,13,0.005130228887134964,0.005104043973301924
08,Colorado,2020-04-25,3921,2020-05-31,-393,-0.10022953328232594,-0.11139455782312925
08,Colorado,2020-03-07,7,2020-06-07,1,0.14285714285714285,0.125
08,Colorado,2020-03-14,94,2020-06-07,1,0.010638297872340425,0.010526315789473684
08,Colorado,2020-03-21,374,2020-06-07,-2,-0.0053475935828877,-0.005376344086021506
08,Colorado,2020-03-28,1265,2020-06-07,321,0.25375494071146243,0.20239596469104665
08,Colorado,2020-04-04,2448,2020-06-07,56,0.02287581699346405,0.022364217252396165
08,Colorado,2020-04-11,2325,2020-06-07,3,0.0012903225806451613,0.001288659793814433
08,Colorado,2020-04-18,2534,2020-06-07,13,0.005130228887134964,0.005104043973301924
08,Colorado,2020-04-25,3921,2020-06-07,-393,-0.10022953328232594,-0.11139455782312925
08,Colorado,2020-03-07,7,2020-06-14,1,0.14285714285714285,0.125
08,Colorado,2020-03-14,94,2020-06-14,1,0.010638297872340425,0.010526315789473684
08,Colorado,2020-03-21,374,2020-06-14,-2,-0.0053475935828877,-0.005376344086021506
08,Colorado,2020-03-28,1265,2020-06-14,321,0.25375494071146243,0.20239596469104665
08,Colorado,2020-04-04,2448,2020-06-14,56,0.02287581699346405,0.022364217252396165
08,Colorado,2020-04-11,2325,2020-06-14,3,0.0012903225806451613,0.001288659793814433
08,Colorado,2020-04-18,2534,2020-06-14,13,0.005130228887134964,0.005104043973301924
08,Colorado,2020-04-25,3921,2020-06-14,-393,-0.10022953328232594,-0.11139455782312925
25,Massachusetts,2020-04-18,13512,2020-06-14,591,0.043738898756660746,0.04190597745160604
25,Massachusetts,2020-04-25,16976,2020-06-14,196,0.011545711592836946,0.011413929652923364
25,Massachusetts,2020-05-02,12915,2020-06-14,388,0.030042586140147116,0.029166353454108097
25,Massachusetts,2020-05-09,10480,2020-06-14,643,0.061354961832061065,0.05780814528454554
25,Massachusetts,2020-05-16,8190,2020-06-14,623,0.07606837606837606,0.07069102462271644
25,Massachusetts,2020-05-23,6729,2020-06-14,538,0.07995244464259177,0.07403330122471447
25,Massachusetts,2020-05-30,4639,2020-06-14,493,0.10627290364302651,0.0960639127045986
25,Massachusetts,2020-06-06,6831,2020-06-14,-3472,-0.5082711169667692,-1.0336409645727895
26,Michigan,2020-03-14,25,2020-06-14,11,0.44,0.3055555555555556
26,Michigan,2020-03-21,515,2020-06-14,74,0.1436893203883495,0.12563667232597622
26,Michigan,2020-03-28,4110,2020-06-14,155,0.037712895377128956,0.03634232121922626
26,Michigan,2020-04-04,9575,2020-06-14,270,0.028198433420365536,0.027425088877602845
26,Michigan,2020-04-11,9380,2020-06-14,385,0.041044776119402986,0.03942652329749104
26,Michigan,2020-04-18,7186,2020-06-14,345,0.04801001948232675,0.04581064931615987
26,Michigan,2020-04-25,6283,2020-06-14,475,0.075600827630113,0.07028706717963895
26,Michigan,2020-05-02,6133,2020-06-14,502,0.08185227458014023,0.07565938206480784
26,Michigan,2020-05-09,3608,2020-06-14,644,0.17849223946784923,0.15145813734713076
26,Michigan,2020-05-16,3723,2020-06-14,916,0.24603814128391083,0.1974563483509377
26,Michigan,2020-05-23,3827,2020-06-14,904,0.23621635746015154,0.19108010991333757
26,Michigan,2020-05-30,2604,2020-06-14,575,0.2208141321044547,0.18087448883296633
26,Michigan,2020-06-06,1556,2020-06-14,1133,0.7281491002570694,0.4213462253625883
29,Missouri,2020-03-21,77,2020-06-14,8,0.1038961038961039,0.09411764705882353
29,Missouri,2020-03-28,755,2020-06-14,20,0.026490066225165563,0.025806451612903226
29,Missouri,2020-04-04,1474,2020-06-14,134,0.09090909090909091,0.08333333333333333
29,Missouri,2020-04-11,1798,2020-06-14,125,0.06952169076751946,0.06500260010400416
29,Missouri,2020-04-18,1471,2020-06-14,-153,-0.10401087695445276,-0.11608497723823975
29,Missouri,2020-04-25,1356,2020-06-14,39,0.028761061946902654,0.02795698924731183
29,Missouri,2020-05-02,1421,2020-06-14,-80,-0.05629838142153413,-0.05965697240865026
29,Missouri,2020-05-09,1555,2020-06-14,-16,-0.010289389067524116,-0.010396361273554255
29,Missouri,2020-05-16,1048,2020-06-14,12,0.011450381679389313,0.011320754716981131
29,Missouri,2020-05-23,1007,2020-06-14,89,0.08838133068520357,0.0812043795620438
29,Missouri,2020-05-30,1332,2020-06-14,-78,-0.05855855855855856,-0.06220095693779904
29,Missouri,2020-06-06,1653,2020-06-14,-12,-0.007259528130671506,-0.007312614259597806
08,Colorado,2020-03-07,7,2020-06-21,1,0.14285714285714285,0.125
08,Colorado,2020-03-14,94,2020-06-21,1,0.010638297872340425,0.010526315789473684
08,Colorado,2020-03-21,374,2020-06-21,-2,-0.0053475935828877,-0.005376344086021506
08,Colorado,2020-03-28,1265,2020-06-21,321,0.25375494071146243,0.20239596469104665
08,Colorado,2020-04-04,2448,2020-06-21,56,0.02287581699346405,0.022364217252396165
08,Colorado,2020-04-11,2325,2020-06-21,3,0.0012903225806451613,0.001288659793814433
08,Colorado,2020-04-18,2534,2020-06-21,13,0.005130228887134964,0.005104043973301924
08,Colorado,2020-04-25,3921,2020-06-21,-393,-0.10022953328232594,-0.11139455782312925
25,Massachusetts,2020-04-18,13512,2020-06-21,591,0.043738898756660746,0.04190597745160604
25,Massachusetts,2020-04-25,16976,2020-06-21,196,0.011545711592836946,0.011413929652923364
25,Massachusetts,2020-05-02,12915,2020-06-21,388,0.030042586140147116,0.029166353454108097
25,Massachusetts,2020-05-09,10480,2020-06-21,643,0.061354961832061065,0.05780814528454554
25,Massachusetts,2020-05-16,8190,2020-06-21,623,0.07606837606837606,0.07069102462271644
