location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
ES,NA,2020-04-25,32033,2020-05-03,-17854,-0.5573627196953143,-1.2591861203187813
ES,NA,2020-04-25,32033,2020-05-10,-17854,-0.5573627196953143,-1.2591861203187813
ES,NA,2020-04-25,32033,2020-05-17,-17854,-0.5573627196953143,-1.2591861203187813
ES,NA,2020-04-25,32033,2020-05-24,-17854,-0.5573627196953143,-1.2591861203187813
ES,NA,2020-04-25,32033,2020-05-31,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-05-31,658,0.31348261076703193,0.2386652158142909
ES,NA,2020-04-25,32033,2020-06-07,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-06-07,658,0.31348261076703193,0.2386652158142909
ES,NA,2020-04-25,32033,2020-06-14,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-06-14,658,0.31348261076703193,0.2386652158142909
ES,NA,2020-04-25,32033,2020-06-21,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-06-21,658,0.31348261076703193,0.2386652158142909
ES,NA,2020-04-25,32033,2020-06-28,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-06-28,658,0.31348261076703193,0.2386652158142909
FR,NA,2020-06-06,1451,2020-06-28,132,0.09097174362508614,0.08338597599494631
FR,NA,2020-06-13,2244,2020-06-28,194,0.08645276292335116,0.07957342083675144
FR,NA,2020-06-20,1801,2020-06-28,302,0.1676846196557468,0.14360437470280552
SE,NA,2020-06-20,5112,2020-06-28,2548,0.4984350547730829,0.33263707571801565
ES,NA,2020-04-25,32033,2020-07-05,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-07-05,658,0.31348261076703193,0.2386652158142909
FR,NA,2020-06-06,1451,2020-07-05,132,0.09097174362508614,0.08338597599494631
FR,NA,2020-06-13,2244,2020-07-05,194,0.08645276292335116,0.07957342083675144
FR,NA,2020-06-20,1801,2020-07-05,302,0.1676846196557468,0.14360437470280552
GB,NA,2020-02-08,1,2020-07-05,10,10,0.9090909090909091
GB,NA,2020-02-15,6,2020-07-05,-1,-0.16666666666666666,-0.2
GB,NA,2020-02-22,0,2020-07-05,5,5,5
GB,NA,2020-02-29,14,2020-07-05,24,1.7142857142857142,0.631578947368421
GB,NA,2020-03-07,183,2020-07-05,184,1.005464480874317,0.5013623978201635
GB,NA,2020-03-14,934,2020-07-05,1268,1.3576017130620985,0.5758401453224341
GB,NA,2020-03-21,3878,2020-07-05,2449,0.6315110881897885,0.3870712818081239
GB,NA,2020-03-28,12071,2020-07-05,5811,0.481401706569464,0.32496365059836707
GB,NA,2020-04-04,24814,2020-07-05,5545,0.2234625614572419,0.18264764979083634
GB,NA,2020-04-11,37088,2020-07-05,-4896,-0.13201035375323555,-0.15208747514910537
GB,NA,2020-04-18,35226,2020-07-05,-3179,-0.09024584114006699,-0.09919805285986208
GB,NA,2020-04-25,34160,2020-07-05,-1336,-0.03911007025761124,-0.04070192542042408
GB,NA,2020-05-02,33883,2020-07-05,-2653,-0.07829885193164714,-0.08495036823567083
GB,NA,2020-05-09,33000,2020-07-05,-10167,-0.3080909090909091,-0.4452765733806333
GB,NA,2020-05-16,24901,2020-07-05,-5119,-0.20557407333038835,-0.25877059953493076
GB,NA,2020-05-23,16993,2020-07-05,-767,-0.045136232566350853,-0.0472698138789597
GB,NA,2020-05-30,15672,2020-07-05,-4928,-0.3144461459928535,-0.45867460908414
GB,NA,2020-06-06,12042,2020-07-05,-3600,-0.29895366218236175,-0.42643923240938164
GB,NA,2020-06-13,9507,2020-07-05,-2428,-0.25539076469969496,-0.3429862974996468
GB,NA,2020-06-20,8735,2020-07-05,-2162,-0.24751001717229537,-0.3289213448957858
GB,NA,2020-06-27,7140,2020-07-05,-2002,-0.2803921568627451,-0.3896457765667575
SE,NA,2020-06-20,5112,2020-07-05,2548,0.4984350547730829,0.33263707571801565
ES,NA,2020-04-25,32033,2020-07-12,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-07-12,658,0.31348261076703193,0.2386652158142909
FR,NA,2020-06-06,1451,2020-07-12,132,0.09097174362508614,0.08338597599494631
FR,NA,2020-06-13,2244,2020-07-12,194,0.08645276292335116,0.07957342083675144
FR,NA,2020-06-20,1801,2020-07-12,302,0.1676846196557468,0.14360437470280552
GB,NA,2020-02-08,1,2020-07-12,10,10,0.9090909090909091
GB,NA,2020-02-15,6,2020-07-12,-1,-0.16666666666666666,-0.2
GB,NA,2020-02-22,0,2020-07-12,5,5,5
GB,NA,2020-02-29,14,2020-07-12,24,1.7142857142857142,0.631578947368421
GB,NA,2020-03-07,183,2020-07-12,184,1.005464480874317,0.5013623978201635
GB,NA,2020-03-14,934,2020-07-12,1268,1.3576017130620985,0.5758401453224341
GB,NA,2020-03-21,3878,2020-07-12,2449,0.6315110881897885,0.3870712818081239
GB,NA,2020-03-28,12071,2020-07-12,5811,0.481401706569464,0.32496365059836707
GB,NA,2020-04-04,24814,2020-07-12,5545,0.2234625614572419,0.18264764979083634
GB,NA,2020-04-11,37088,2020-07-12,-4896,-0.13201035375323555,-0.15208747514910537
GB,NA,2020-04-18,35226,2020-07-12,-3179,-0.09024584114006699,-0.09919805285986208
GB,NA,2020-04-25,34160,2020-07-12,-1336,-0.03911007025761124,-0.04070192542042408
GB,NA,2020-05-02,33883,2020-07-12,-2653,-0.07829885193164714,-0.08495036823567083
GB,NA,2020-05-09,33000,2020-07-12,-10167,-0.3080909090909091,-0.4452765733806333
GB,NA,2020-05-16,24901,2020-07-12,-5119,-0.20557407333038835,-0.25877059953493076
GB,NA,2020-05-23,16993,2020-07-12,-767,-0.045136232566350853,-0.0472698138789597
GB,NA,2020-05-30,15672,2020-07-12,-4928,-0.3144461459928535,-0.45867460908414
GB,NA,2020-06-06,12042,2020-07-12,-3600,-0.29895366218236175,-0.42643923240938164
GB,NA,2020-06-13,9507,2020-07-12,-2428,-0.25539076469969496,-0.3429862974996468
GB,NA,2020-06-20,8735,2020-07-12,-2162,-0.24751001717229537,-0.3289213448957858
GB,NA,2020-06-27,7140,2020-07-12,-2002,-0.2803921568627451,-0.3896457765667575
SE,NA,2020-06-20,5112,2020-07-12,2548,0.4984350547730829,0.33263707571801565
ES,NA,2020-04-25,32033,2020-07-19,-17854,-0.5573627196953143,-1.2591861203187813
FR,NA,2020-05-23,2099,2020-07-19,658,0.31348261076703193,0.2386652158142909
FR,NA,2020-06-06,1451,2020-07-19,132,0.09097174362508614,0.08338597599494631
FR,NA,2020-06-13,2244,2020-07-19,194,0.08645276292335116,0.07957342083675144
FR,NA,2020-06-20,1801,2020-07-19,302,0.1676846196557468,0.14360437470280552
GB,NA,2020-02-08,1,2020-07-19,10,10,0.9090909090909091
GB,NA,2020-02-15,6,2020-07-19,-1,-0.16666666666666666,-0.2
GB,NA,2020-02-22,0,2020-07-19,5,5,5
GB,NA,2020-02-29,14,2020-07-19,24,1.7142857142857142,0.631578947368421
GB,NA,2020-03-07,183,2020-07-19,184,1.005464480874317,0.5013623978201635
GB,NA,2020-03-14,934,2020-07-19,1268,1.3576017130620985,0.5758401453224341
