location,date,issue_date,anomaly_type
06,2021-03-13,2021-04-25,revision
06,2021-03-20,2021-04-25,adjacent to revision
06,2021-03-27,2021-04-25,adjacent to revision
06,2021-04-03,2021-04-25,adjacent to revision
06,2021-03-13,2021-05-02,revision
06,2021-03-20,2021-05-02,adjacent to revision
06,2021-03-27,2021-05-02,adjacent to revision
06,2021-04-03,2021-05-02,adjacent to revision
06,2021-03-13,2021-05-09,revision
06,2021-03-20,2021-05-09,adjacent to revision
06,2021-03-27,2021-05-09,adjacent to revision
06,2021-04-03,2021-05-09,adjacent to revision
06,2021-03-13,2021-05-16,revision
06,2021-03-20,2021-05-16,adjacent to revision
06,2021-03-27,2021-05-16,adjacent to revision
06,2021-04-03,2021-05-16,adjacent to revision
06,2021-03-13,2021-05-23,revision
06,2021-03-20,2021-05-23,adjacent to revision
06,2021-03-27,2021-05-23,adjacent to revision
06,2021-04-03,2021-05-23,adjacent to revision
06,2021-03-13,2021-05-30,revision
06,2021-03-20,2021-05-30,adjacent to revision
06,2021-03-27,2021-05-30,adjacent to revision
06,2021-04-03,2021-05-30,adjacent to revision
06,2021-03-13,2021-06-06,revision
06,2021-03-20,2021-06-06,adjacent to revision
06,2021-03-27,2021-06-06,adjacent to revision
06,2021-04-03,2021-06-06,adjacent to revision
06,2021-03-13,2021-06-13,revision
06,2021-03-20,2021-06-13,adjacent to revision
06,2021-03-27,2021-06-13,adjacent to revision
06,2021-04-03,2021-06-13,adjacent to revision
06,2021-05-15,2021-06-13,revision
06,2021-05-22,2021-06-13,adjacent to revision
06,2021-05-29,2021-06-13,adjacent to revision
06,2021-06-05,2021-06-13,adjacent to revision
06,2021-03-13,2021-06-20,revision
06,2021-03-20,2021-06-20,adjacent to revision
06,2021-03-27,2021-06-20,adjacent to revision
06,2021-04-03,2021-06-20,adjacent to revision
06,2021-05-15,2021-06-20,revision
06,2021-05-22,2021-06-20,adjacent to revision
06,2021-05-29,2021-06-20,adjacent to revision
06,2021-06-05,2021-06-20,adjacent to revision
06,2021-03-13,2021-06-27,revision
06,2021-03-20,2021-06-27,adjacent to revision
06,2021-03-27,2021-06-27,adjacent to revision
06,2021-04-03,2021-06-27,adjacent to revision
06,2021-05-15,2021-06-27,revision
06,2021-05-22,2021-06-27,adjacent to revision
06,2021-05-29,2021-06-27,adjacent to revision
06,2021-06-05,2021-06-27,adjacent to revision
06,2021-03-13,2021-07-04,revision
06,2021-03-20,2021-07-04,adjacent to revision
06,2021-03-27,2021-07-04,adjacent to revision
06,2021-04-03,2021-07-04,adjacent to revision
06,2021-05-15,2021-07-04,revision
06,2021-05-22,2021-07-04,adjacent to revision
